"id","name","gene_type","corr","pval","padj","stat"
"ENSG00000226853.4","ENSG00000226853","lncRNA",0.189310460316647,1.16985985021957e-10,2.7492168145452e-10,6.50385482320851
"ENSG00000286923.2","ENSG00000286923","lncRNA",0.189296486524395,1.17360093875455e-10,2.75746442702046e-10,6.50335690396168
"ENSG00000259202.1","ENSG00000259202","lncRNA",0.189267253448962,1.1814650797933e-10,2.77539429986947e-10,6.50231527364155
"ENSG00000224893.7","LINC02840","lncRNA",0.189252763895205,1.18538203362876e-10,2.7840465431904e-10,6.50179898980944
"ENSG00000289576.1","ENSG00000289576","lncRNA",0.189200356261732,1.19965548932193e-10,2.81701436865619e-10,6.49993166653528
"ENSG00000289168.1","ENSG00000289168","lncRNA",0.189190554632075,1.20234356777964e-10,2.82276993736557e-10,6.49958243351688
"ENSG00000264365.1","ENSG00000264365","lncRNA",0.189090946523613,1.22999654559941e-10,2.88712236067973e-10,6.4960335011832
"ENSG00000271931.1","PNRC1-DT","lncRNA",0.189074518790527,1.23461642068511e-10,2.8973953833221e-10,6.49544821828026
"ENSG00000214381.6","LINC00488","lncRNA",0.189069363157749,1.23606979794727e-10,2.9002346914011e-10,6.49526453593364
"ENSG00000258314.3","ENSG00000258314","lncRNA",-0.18906750695726,1.23659347121096e-10,2.90089191296485e-10,-6.49519840427277
"ENSG00000266397.1","ENSG00000266397","lncRNA",0.189048112176339,1.24207811675136e-10,2.91318439750073e-10,6.49450742230941
"ENSG00000230415.1","LINC01786","lncRNA",0.189045948877288,1.24269134556692e-10,2.91404881388108e-10,6.49443035048508
"ENSG00000267049.1","ENSG00000267049","lncRNA",0.188994643116707,1.25732187754446e-10,2.94777629164459e-10,6.4926025096253
"ENSG00000285848.1","ENSG00000285848","lncRNA",-0.188934467860759,1.27469598937607e-10,2.98792151810057e-10,-6.49045875061005
"ENSG00000234210.1","ENSG00000234210","lncRNA",0.188902842858189,1.28392064084415e-10,3.00895215121091e-10,6.48933213213349
"ENSG00000212694.8","LINC01089","lncRNA",0.188875064849867,1.29207689658983e-10,3.02747114664271e-10,6.48834257739455
"ENSG00000256209.2","ENSG00000256209","lncRNA",0.188864175434378,1.2952880569713e-10,3.03439826092214e-10,6.48795466080388
"ENSG00000287113.1","ENSG00000287113","lncRNA",0.188846977403987,1.30037542607074e-10,3.04571707463176e-10,6.48734201577488
"ENSG00000239801.1","DENND6A-AS1","lncRNA",0.188839269818694,1.30266173973169e-10,3.05047214317822e-10,6.48706745065541
"ENSG00000275965.1","ENSG00000275965","lncRNA",0.188736982184142,1.33337757421921e-10,3.12178630016725e-10,6.48342380503611
"ENSG00000289444.1","ENSG00000289444","lncRNA",0.188692517123876,1.34694933078296e-10,3.15294153491058e-10,6.48183995824621
"ENSG00000287051.1","ENSG00000287051","lncRNA",-0.188676355189705,1.3519156575807e-10,3.16394487753707e-10,-6.48126427990666
"ENSG00000259925.1","ENSG00000259925","lncRNA",0.188619481546368,1.36953461203799e-10,3.20454955390422e-10,6.47923851847642
"ENSG00000227695.6","DNMBP-AS1","lncRNA",-0.188605808571776,1.3738036809249e-10,3.21390725590563e-10,-6.47875151589216
"ENSG00000271725.1","ENSG00000271725","lncRNA",-0.188598016431216,1.37624240314544e-10,3.21898016917953e-10,-6.47847397798928
"ENSG00000248243.1","LINC02014","lncRNA",0.188556613403278,1.38927143403914e-10,3.24881656772161e-10,6.4769993198189
