"name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSG00000143196.5",533.706704225084,0.287808671222813,0.242646947712294,1.18612112757366,0.23557446808535,0.30520694414374,"DPT"
"ENSG00000132003.10",202.034688898084,0.287809221677093,0.0995636157337271,2.8907068064584,0.00384376536648958,0.00793548074397188,"ZSWIM4"
"ENSG00000204850.4",8.17115572352613,0.287841530680657,0.193097744831667,1.49065195417783,0.136052896395466,0.189853713474978,"ENSG00000204850"
"ENSG00000182272.12",1502.96599590819,0.288059520104523,0.165851966955411,1.73684717397392,0.0824141498235102,0.122772929815167,"B4GALNT4"
"ENSG00000054116.12",1345.79525277331,0.28812518709412,0.0581518636352716,4.95470255091463,7.24410199822438e-07,2.8660344291386e-06,"TRAPPC3"
"ENSG00000275645.1",21.3463775937519,0.288158616801789,0.120357165376154,2.39419577472768,0.0166568552886957,0.0298692876209644,"ENSG00000275645"
"ENSG00000180061.10",19.0628675174782,0.288312625873968,0.193989797984711,1.48622571325473,0.137219428381282,0.191302401340139,"TMEM150B"
"ENSG00000237441.10",4774.82930909677,0.288326985664001,0.110643840156293,2.60590183110707,0.00916327202242179,0.0174374591630774,"RGL2"
"ENSG00000182048.12",6.76242077960228,0.288351516384133,0.207120336592355,1.39219316233371,0.16386391278938,0.223226306753465,"TRPC2"
"ENSG00000167535.8",704.103765786559,0.288398645459211,0.108780252975664,2.65120403354578,0.00802053732520374,0.0154429115023583,"CACNB3"
"ENSG00000249992.2",80.6046884117085,0.288463562875047,0.143205174828323,2.01433756301658,0.0439741047647867,0.0707031794445046,"TMEM158"
"ENSG00000171984.15",103.098352162042,0.288501927137786,0.0944221004868284,3.05544915491507,0.00224723702303694,0.00485837351128682,"SHLD1"
"ENSG00000268049.1",15.0420664952186,0.288744918102148,0.146733137931945,1.96782350716216,0.0490883484666452,0.0779744635569873,"ENSG00000268049"
"ENSG00000203546.7",22.1932673103171,0.28880360819278,0.121302509230937,2.38085436174245,0.0172725392394448,0.0308640799692792,"ENSG00000203546"
"ENSG00000179094.16",1325.58225765626,0.288850244531301,0.136533498556512,2.11559981678595,0.0343788574519761,0.056923513973121,"PER1"
"ENSG00000086666.19",1131.87139415727,0.288895831366442,0.0721178893314951,4.00588306236351,6.17862126631612e-05,0.000178898090868599,"ZFAND6"
"ENSG00000149823.9",2256.18128948298,0.288907255283187,0.0850974392966608,3.39501702602376,0.000686243328487045,0.00163877338786876,"VPS51"
"ENSG00000246022.4",1.9633968197767,0.288918019964088,0.346069973364954,0.834854342186471,0.403799724606543,0.482555863694945,"ALDH1L1-AS2"
"ENSG00000242372.9",1908.48333812965,0.288951271610517,0.0734819080293725,3.93227774508816,8.41447647128898e-05,0.000238052304984564,"EIF6"
"ENSG00000162521.19",3725.00099582214,0.288987775066208,0.0772185853029504,3.74246399273474,0.000182224650175531,0.000486042689256204,"RBBP4"
"ENSG00000178796.13",6.56017688606896,0.289001331888791,0.267559923596712,1.08013684562265,0.280081246367297,0.353652527861062,"RIIAD1"
"ENSG00000128159.12",1975.37300908788,0.289177694485398,0.115426017017029,2.5053077456769,0.0122344890772447,0.0226182537811131,"TUBGCP6"
"ENSG00000182685.8",134.347789886382,0.289240953916228,0.144873442854979,1.99650776716726,0.0458786811632352,0.0734438866984062,"BRICD5"
"ENSG00000178741.12",2510.23587232799,0.28931165692044,0.0821974370063706,3.51971627653083,0.000432008659308381,0.00107253797621094,"COX5A"
"ENSG00000205795.5",44.0642138214387,0.289401616704297,0.182546225909826,1.58536072308203,0.112884399711344,0.161522605733176,"CYS1"
"ENSG00000229117.9",44408.2838050358,0.28942517057765,0.0868382982657781,3.33292080058769,0.000859394022836737,0.00201331603468171,"RPL41"
"ENSG00000250451.5",11.9024544246162,0.289472072568055,0.249706932910753,1.15924723912858,0.246355421074044,0.317007807951796,"HOXC-AS1"
"ENSG00000149476.16",1109.00616461089,0.289574481173355,0.0775409252624702,3.73447286311283,0.000188108771890653,0.000499876602582071,"TKFC"
"ENSG00000204344.16",553.268476954574,0.28978591381718,0.0763919959042251,3.79340676188764,0.000148594442340107,0.000402926138989604,"STK19"
