"name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSG00000235847.2",4.27888992758614,-0.266777773674838,0.211534643042144,-1.26115405892021,0.207253346975403,0.269271024881533,"LDHAP7"
"ENSG00000134597.17",774.206997687292,-0.266726526890162,0.075049242574445,-3.55402023712076,0.000379390018799881,0.000948832288072017,"RBMX2"
"ENSG00000103187.8",2047.70858060187,-0.266647013394264,0.126110007347244,-2.11440010989812,0.0344811082887992,0.0553546931021242,"COTL1"
"ENSG00000178947.9",133.163387440553,-0.266547982902112,0.146097303444099,-1.82445518581458,0.0680832854826914,0.10129971830629,"SMIM10L2A"
"ENSG00000262333.1",42.095390145304,-0.266459257909895,0.117985620029386,-2.25840452288618,0.0239204510097728,0.0399874061166974,"HNRNPA1P16"
"ENSG00000196972.9",38.5993244986183,-0.266389827981606,0.159854708203533,-1.66644968406203,0.095623881969465,0.137109704339414,"SMIM10L2B"
"ENSG00000282787.1",6.93775826499465,-0.266376819609207,0.151015352294319,-1.76390556034367,0.0777478805594908,0.11399016803463,"ENSG00000282787"
"ENSG00000166813.16",236.683411123264,-0.266371770839243,0.122385367721776,-2.17650014701755,0.0295178826969172,0.0482161724741771,"KIF7"
"ENSG00000272711.1",26.5465632233989,-0.266078860320265,0.144452483750883,-1.84198189889995,0.0654777976406059,0.0978666463328358,"HK2-DT"
"ENSG00000135077.9",207.444702313018,-0.266012009897919,0.133769752518206,-1.98858116196122,0.0467474523893613,0.0725394927240057,"HAVCR2"
"ENSG00000189045.15",17.0537733342326,-0.265990583969205,0.163258819889629,-1.62925705422241,0.103258613419412,0.146804145292853,"ANKDD1B"
"ENSG00000276462.2",6.14944832438204,-0.265927344451618,0.240752675306677,-1.10456651878478,0.269347465488702,0.337446636008487,"ENSG00000276462"
"ENSG00000105723.13",1672.21307918233,-0.265894137602515,0.0866861795773259,-3.06731867639099,0.00215988456065288,0.00459032423976392,"GSK3A"
"ENSG00000231527.7",228.948137017451,-0.265885266861366,0.15327051032568,-1.73474510064848,0.0827859640495995,0.120572020222986,"FAM27C"
"ENSG00000100078.4",2.46027256639304,-0.265726136586184,0.374823383284235,-0.70893692452661,0.478363619876363,0.549495616824244,"PLA2G3"
"ENSG00000048162.22",679.882208263588,-0.265533342455296,0.0803141860307703,-3.30618232691251,0.000945765247089244,0.00216938662628243,"NOP16"
"ENSG00000070159.14",1288.61784146031,-0.265253110613614,0.0979703979379709,-2.70748222112516,0.00677957019291834,0.0128996574207265,"PTPN3"
"ENSG00000246273.8",138.243601672349,-0.265218833588474,0.0915514613890624,-2.89693719318564,0.00376825187195005,0.00757852596481672,"SBF2-AS1"
"ENSG00000254635.6",644.45481116201,-0.26518715763661,0.0727620824131498,-3.64457900106339,0.000267829858624626,0.000691674812125613,"WAC-AS1"
"ENSG00000113262.16",21.9396980184683,-0.264985381719603,0.205552954304056,-1.28913438688716,0.197351370687567,0.258234740707923,"GRM6"
"ENSG00000003056.8",1749.34441083526,-0.264973357442279,0.0663361274546112,-3.99440497372386,6.48569265530818e-05,0.000191775787406512,"M6PR"
"ENSG00000260280.5",284.748765796118,-0.264879862611026,0.226191299764208,-1.17104354980562,0.241581272478376,0.30709163885648,"SLX1B-SULT1A4"
"ENSG00000183281.15",201.014219681331,-0.264818193949142,0.147116168137092,-1.80006179675892,0.0718508810407352,0.106272229053112,"PLGLB1"
"ENSG00000120437.9",680.593637736757,-0.264745636369464,0.101455288630657,-2.60948088505526,0.00906797120216494,0.0167475723271035,"ACAT2"
"ENSG00000276023.5",294.202475972615,-0.264723516573847,0.0858914209266661,-3.08207168676215,0.0020556532557835,0.00438891884836091,"DUSP14"
