"gene_id","gene_name","valid_targets","tot_target","avg_targets"
"ENSG00000163468.15","CCT3",4,10,0.4
"ENSG00000175662.18","TOM1L2",4,10,0.4
"ENSG00000196396.10","PTPN1",14,35,0.4
"ENSG00000213066.13","CEP43",2,5,0.4
"ENSG00000151779.13","NBAS",15,38,0.394736842105263
"ENSG00000111640.15","GAPDH",7,18,0.388888888888889
"ENSG00000086758.16","HUWE1",5,13,0.384615384615385
"ENSG00000116815.16","CD58",9,24,0.375
"ENSG00000196405.13","EVL",3,8,0.375
"ENSG00000095139.15","ARCN1",4,11,0.363636363636364
"ENSG00000149262.17","INTS4",4,11,0.363636363636364
"ENSG00000167258.15","CDK12",9,25,0.36
"ENSG00000197119.13","SLC25A29",10,28,0.357142857142857
"ENSG00000008083.14","JARID2",7,20,0.35
"ENSG00000182831.12","C16orf72",7,20,0.35
"ENSG00000205476.9","CCDC85C",9,26,0.346153846153846
"ENSG00000162194.13","LBHD1",10,29,0.344827586206897
"ENSG00000005486.17","RHBDD2",1,3,0.333333333333333
"ENSG00000076248.11","UNG",1,3,0.333333333333333
"ENSG00000081803.17","CADPS2",3,9,0.333333333333333
"ENSG00000082153.18","BZW1",2,6,0.333333333333333
"ENSG00000084774.14","CAD",1,3,0.333333333333333
"ENSG00000096717.12","SIRT1",1,3,0.333333333333333
"ENSG00000107554.17","DNMBP",1,3,0.333333333333333
"ENSG00000110046.13","ATG2A",4,12,0.333333333333333
"ENSG00000112576.13","CCND3",1,3,0.333333333333333
"ENSG00000113282.14","CLINT1",3,9,0.333333333333333
"ENSG00000117595.12","IRF6",4,12,0.333333333333333
"ENSG00000124831.19","LRRFIP1",2,6,0.333333333333333
"ENSG00000125912.11","NCLN",1,3,0.333333333333333
"ENSG00000129235.11","TXNDC17",1,3,0.333333333333333
"ENSG00000130024.15","PHF10",3,9,0.333333333333333
"ENSG00000132749.11","TESMIN",4,12,0.333333333333333
"ENSG00000138640.15","FAM13A",1,3,0.333333333333333
"ENSG00000140632.17","GLYR1",2,6,0.333333333333333
"ENSG00000141540.11","TTYH2",2,6,0.333333333333333
"ENSG00000160741.17","CRTC2",4,12,0.333333333333333
"ENSG00000163141.20","BNIPL",4,12,0.333333333333333
"ENSG00000167566.17","NCKAP5L",1,3,0.333333333333333
"ENSG00000196208.14","GREB1",2,6,0.333333333333333
"ENSG00000197724.11","PHF2",2,6,0.333333333333333
"ENSG00000198373.13","WWP2",2,6,0.333333333333333
"ENSG00000204209.13","DAXX",1,3,0.333333333333333
"ENSG00000214654.9","B3GALT9",1,3,0.333333333333333
"ENSG00000173548.9","SNX33",13,40,0.325
"ENSG00000163510.14","CWC22",10,31,0.32258064516129
"ENSG00000134245.18","WNT2B",16,50,0.32
"ENSG00000110013.13","SIAE",5,16,0.3125
"ENSG00000117153.16","KLHL12",5,16,0.3125
"ENSG00000166004.15","CEP295",5,16,0.3125
"ENSG00000086200.17","IPO11",4,13,0.307692307692308
"ENSG00000157827.20","FMNL2",4,13,0.307692307692308
"ENSG00000166900.17","STX3",4,13,0.307692307692308
"ENSG00000105426.18","PTPRS",7,23,0.304347826086957
"ENSG00000132842.14","AP3B1",3,10,0.3
"ENSG00000184863.11","RBM33",3,10,0.3
"ENSG00000188994.13","ZNF292",9,30,0.3
"ENSG00000196419.13","XRCC6",3,10,0.3
"ENSG00000086015.23","MAST2",5,17,0.294117647058824
"ENSG00000133028.12","SCO1",5,17,0.294117647058824
"ENSG00000148773.14","MKI67",7,24,0.291666666666667
"ENSG00000188559.16","RALGAPA2",11,38,0.289473684210526
"ENSG00000065613.15","SLK",2,7,0.285714285714286
"ENSG00000118197.14","DDX59",4,14,0.285714285714286
"ENSG00000119778.15","ATAD2B",2,7,0.285714285714286
"ENSG00000141349.9","G6PC3",2,7,0.285714285714286
"ENSG00000147862.18","NFIB",2,7,0.285714285714286
"ENSG00000162604.12","TM2D1",6,21,0.285714285714286
"ENSG00000163820.16","FYCO1",2,7,0.285714285714286
"ENSG00000167114.13","SLC27A4",6,21,0.285714285714286
"ENSG00000172893.18","DHCR7",2,7,0.285714285714286
"ENSG00000241258.7","CRCP",14,49,0.285714285714286
"ENSG00000161011.20","SQSTM1",3,11,0.272727272727273
"ENSG00000165416.15","SUGT1",10,37,0.27027027027027
"ENSG00000135624.17","CCT7",4,15,0.266666666666667
"ENSG00000162413.17","KLHL21",9,34,0.264705882352941
"ENSG00000100207.21","TCF20",6,23,0.260869565217391
