id	filename	md5	size	state
9b225af5-1dbe-4a0a-a0fc-89297c927a1c	53fa7483-de96-43d6-8d93-405dbd9e0a02.rna_seq.genomic.gdc_realn.bam	567b9d4a3ba45e12f58155abceb73a09	5233331724	released
a3b2cf97-8452-46ed-a986-dae47c159928	db7df825-f9a0-4395-aa3b-144cbe75045f.rna_seq.genomic.gdc_realn.bam	641ff65d322f662dfd3dc72ff464202a	3960939229	released
e7481529-a5d8-4441-bf07-442c937c5d84	cc5a10a6-6ea6-4f06-9d71-114a60dc5a1b.rna_seq.genomic.gdc_realn.bam	aa8be86faa58009758e6b28138464828	2648761467	released
d8e53761-896f-4dba-936c-891ab5806cb6	d3200024-0dd3-4229-8706-234483ff5f55.rna_seq.genomic.gdc_realn.bam	072c467b2f113a6e4cfff8d33dd02131	4493056161	released
a3403a93-b388-45f7-94de-d27a2114bae7	246f42c6-44ea-4eb1-8e9c-5b099f581278.rna_seq.genomic.gdc_realn.bam	e3fc9c39cc51d2363a49b9db7626a4b1	4484132795	released
fd406987-c7dc-4348-987d-eae6ea035e1a	c86afe6e-8533-4364-9886-7160bf670d6b.rna_seq.genomic.gdc_realn.bam	280fb9ccfe1de2b301019704b88f0b46	3956548100	released
89d161f5-2e96-4342-bd4e-dbd36e6df15f	e943bee1-f758-4e73-abba-ddd77749601e.rna_seq.genomic.gdc_realn.bam	c9452497c2f2efae1bd3e6451275aa6d	3017745518	released
651a0d23-6a0f-436e-8407-4424bc835461	cd9113f1-7ecb-4d69-91e8-6f8c88d25439.rna_seq.genomic.gdc_realn.bam	c5d996dc523bf2598879c749234c562f	5227518271	released
7c60d9e2-f365-4e49-8d7d-24a093d0d050	1e9d5ba2-c61c-4a8a-b28f-b0d871412647.rna_seq.genomic.gdc_realn.bam	876516cff60b3c053408cad007a05162	6236866672	released
e9f0aa8b-b52e-41cf-bbd6-3bbf81ec193b	df8b088e-aa4a-40a7-87bf-53fc4db2624e.rna_seq.genomic.gdc_realn.bam	bdfae97202a8c2c81600ae6774614d13	4071682937	released
5f66b9f2-8567-4d44-bdb7-18ffc4ce0ec6	6b159939-1a82-4c54-b9b1-129007ef943c.rna_seq.genomic.gdc_realn.bam	6f06b38c6670c91e97f38d4bbcbc24cc	3730175638	released
163e9290-3459-4f99-9899-34432ec751dd	3879db09-b5d3-4591-8ac0-bc3ca9637284.rna_seq.genomic.gdc_realn.bam	75059fc0688dbf9e4ba41ccca15c5871	5775837006	released
8b0be3c2-cf54-4c97-ba74-e1a6e8374607	3d50707b-27d7-4a34-96a3-20092de1bae0.rna_seq.genomic.gdc_realn.bam	38d259dc8ef04a40acf2a34668a61b01	1390551522	released
90e3d2b1-c7b5-488c-a822-c03ede6a3d9e	8cba2cbe-84a7-45f3-81a7-06b475cc6d4d.rna_seq.genomic.gdc_realn.bam	c7361048ea6c40e20ced8e8dfdfc5589	2281963344	released
99b3f8b1-505b-4828-8190-992af329c8c7	596495d8-6e52-439d-bdd0-56b34d51f210.rna_seq.genomic.gdc_realn.bam	f1a8cc7af29557d3cea5f620031684c6	3329211717	released
4604512f-8609-4c85-8f56-2d064043f4ed	a5d77b54-69dd-4646-89be-ac8eb7e8407b.rna_seq.genomic.gdc_realn.bam	b53421b6a1c42fbb1846c13701215ca7	3262413448	released
68796415-e8cb-4d7c-91d5-579647f37e25	f79b5067-9ed6-429b-a68a-f0d5c3a3326f_gdc_realn_rehead.bam	928a70d99b8bb944b2cc9dac185a6176	8422126484	released
61223fbb-abbd-4c17-b54d-9b4d6fe959e4	4c54d53c-127a-4425-80b3-15bc129c22c0_gdc_realn_rehead.bam	37faec7decb4141a8aa88c3687e44be9	9885292260	released
